name,birthday,height,v1,v2,v3,list_film,source
Momoka Nishina,5/24/91,166,100,58,88,"[""RCT-253"",""RCT-267"",""KTDS-359"",""EBOD-143"",""ADZ-241"",""JUFD-174"",""GAR-248"",""WNZ-277"",""HBAD-137"",""SDMT-546"",""MIAD-492"",""HBAD-146"",""T28-238"",""SUN-37"",""SERO-0064"",""YSN-226"",""AOZ-053"",""TYOD-190"",""JUFD-233"",""RBD-322"",""IENE-034"",""HPK-002"",""WSS-167"",""DWD-042"",""MIAD-530"",""PPPD-121"",""PJD-025"",""SHKD-446"",""JFB-058"",""CRIM-021"",""MIGD-422"",""VGD-103"",""MILD-739"",""PPPD-130"",""JUC-696"",""ETC-88"",""MOMJ-171"",""KOH-003"",""KAWD-303"",""JUFD-137"",""EKDV-211"",""SACE-024"",""PPPD-172"",""SVDVD-261"",""BEB-008"",""HODV-20693"",""GG-016"",""ECB-056"",""VENU-161"",""PPPD-132"",""DASD-133"",""YSN-236"",""EKDV-186"",""EKDV-181"",""BLK-071"",""BEB-019"",""KAWD-295"",""AOZ-071"",""EKDV-169"",""TYOD-112"",""ADZ-249"",""AIKB-004"",""BEB-024"",""EKDV-145"",""EKDV-231"",""EKDV-195"",""EKDV-217"",""BF-149"",""RKI-149"",""R18-239"",""JUFD-183"",""MDS-678"",""SMA-533"",""CRS-022"",""WNZ-335"",""WSS-172"",""JAG-070"",""EKDV-158"",""DVDES-392"",""JUC-579"",""KK-100"",""SMA-560"",""MAD-170"",""PCHA-044"",""GG-002"",""KAWD-318"",""LABS-41"",""EKDV-225"",""KK-088"",""KK-043"",""JUFD-169"",""SDMT-368"",""PPPD-142"",""ETC-73"",""SACE-009"",""YO-122"",""KIRD-162"",""UPSM-136"",""WNZ-347"",""PPPD-127"",""NJG-002"",""WSS-151"",""T28-244"",""ADZ-254"",""BOIX-001"",""BOIN-065"",""GG-037"",""AOZ-061"",""TID-008"",""HERR-007"",""RBD-331"",""MINT-004"",""HJO-002""]",https://www.asianscreens.com/Momoka_Nishina2.asp
Tia,9/23/91,159,98,59,88,"[""EBOD-212"",""EBOD-271"",""SNIS-057"",""EBOD-537"",""EBOD-478"",""SNIS-405"",""EBOD-525"",""SNIS-497"",""SNIS-079"",""SNIS-156"",""SUPD-136"",""EBOD-550"",""EBOD-206"",""SOE-967"",""EBOD-544"",""IPZ-922"",""EBOD-491"",""SNIS-280"",""SNIS-340"",""SNIS-362"",""SNIS-117"",""EBOD-256"",""EBOD-235"",""SNIS-016"",""EBOD-458"",""EBOD-484"",""SNIS-196"",""MIMK-043"",""SNIS-300"",""SOE-998"",""EBOD-520"",""SNIS-217"",""MIDD-927"",""EBOD-228"",""SOE-935"",""SNIS-473"",""SNIS-136"",""SHKD-747"",""EBOD-473"",""IPZ-869"",""SOE-951"",""SNIS-238"",""RBD-835"",""SNIS-383"",""SNIS-176"",""SNIS-318"",""EBOD-530"",""SNIS-427"",""EBOD-266"",""SNIS-259"",""IPZ-905"",""EBOD-241"",""SNIS-098"",""EBOD-224"",""SNIS-035"",""SOE-982""]",https://www.asianscreens.com/Tia2.asp
Hitomi Kitagawa,12/2/91,155,90,57,85,"[""TMAM-016"",""EBOD-147"",""KET-003"",""GAR-242"",""WNZ-366"",""SVDVD-206"",""BF-162"",""YSG-004"",""BOBB-108"",""JAG-061"",""KIRD-166"",""EKDV-208"",""MDS-672"",""BDD-02"",""TYOD-121"",""MLW-1005"",""BF-131"",""PPPD-317"",""BAG-003"",""WDI-021"",""MVSD-145"",""YSN-266"",""RCT-301"",""KAWD-319"",""EKDV-203"",""ONCE-053"",""SACE-110"",""EKDV-171"",""EKDV-163"",""EKDV-201"",""BF-144"",""SVDVD-238"",""YSN-269"",""ATFB-175"",""SMA-583"",""HODV-20718"",""VENU-178"",""HAVD-784"",""RKI-143"",""EKDV-142"",""ODFA-005"",""EKDV-191"",""EKDV-187"",""BLK-041"",""BLK-065"",""KAWD-304"",""HND-138"",""EKDV-182"",""DDK-053"",""PMP-161"",""ZONO-024"",""MOBAO-011"",""ADZ-250"",""WNZ-316"",""SACE-012"",""BDSR-082"",""HND-001"",""WANZ-088"",""EKDV-177"",""MVSD-147"",""SMA-626"",""UPSM-126"",""SMA-566"",""REGA-003"",""DJSB-061"",""HND-011"",""MDS-687"",""SHM-04"",""KNCS-028"",""OKAD-408"",""EKDV-248"",""HND-013"",""DASD-149"",""KK-094"",""ASW-133"",""SDMT-488"",""WNZ-330"",""IPSD-043"",""VSPDS-576"",""CWM-120"",""HAVD-788"",""PPFD-011"",""MXGS-344"",""ATID-194"",""MOMJ-165"",""JUFD-175"",""UPSM-157"",""SDMT-571"",""JUC-581"",""SACE-018"",""SAMA-497"",""NAMA-005"",""STFR-003"",""ODFW-002"",""HJO-003"",""OKAD-402"",""JPN-004"",""PPW-030"",""KTDS-340""]",https://www.asianscreens.com/Hitomi_Kitagawa2.asp
Rie Tachikawa,4/7/93,160,90,57,88,"[""SERO-0198"",""EBOD-300"",""CKK-002"",""GG-227"",""EKDV-329"",""PPPD-240"",""HMGL-098"",""HND-059"",""CRC-075"",""HMGL-110"",""MIAD-626"",""SDMT-949"",""HND-049"",""EKDV-327"",""SRS-002"",""DVDES-651"",""HMM-002""]",https://www.asianscreens.com/Rie_Tachikawa2.asp
Yui Kasumi,4/13/97,150,89,59,86,"[""XVSR-077"",""XVSR-107"",""XVSR-084"",""MXGS-806"",""MXGS-791"",""XVSR-069"",""XVSR-099"",""MXGS-799"",""XVSR-090""]",https://www.asianscreens.com/Yui_Kasumi2.asp
Suzu Mitake,9/23/96,161,92,57,85,"[""EBOD-475"",""SNIS-794"",""SNIS-749"",""MIAE-051"",""EBOD-429"",""EBOD-450"",""SNIS-710"",""SNIS-817"",""EBOD-433"",""CJOD-087"",""EBOD-487"",""SNIS-867"",""BLK-312"",""EBOD-454"",""SNIS-691"",""EBOD-462"",""EBOD-479"",""EBOD-521"",""EBOD-504"",""EBOD-444"",""SNIS-844"",""AVOP-125"",""HND-412"",""EBOD-501"",""SNIS-769"",""EBOD-438"",""EBOD-493"",""EYAN-063""]",https://www.asianscreens.com/Suzu_Mitake2.asp
Airi Minami,7/20/91,155,86,56,85,"[""ODFW-009"",""DDT-449"",""KAWD-379"",""TGAV-044"",""UFD-033"",""KAWD-394"",""ODFA-028"",""SHKD-504"",""KAWD-387"",""KAWD-372"",""RBD-488"",""RBD-462"",""DVDES-601"",""SMA-657"",""DVDES-597""]",https://www.asianscreens.com/Airi_Minami2.asp
Miku Airi,7/14/91,152,85,56,85,"[""KAWD-299"",""KAWD-281"",""DAT-001"",""SDMT-385"",""MAS-031"",""WNZ-318"",""KAWD-271"",""KAWD-266"",""WNZS-203"",""KAWD-286"",""KAWD-275"",""KAWD-261"",""FST-025"",""SAMA-455""]",https://www.asianscreens.com/Miku_Airi2.asp
Yu Namiki,3/3/89,160,83,58,85,"[""ADZ-101"",""ADZ-212"",""IPZ-453"",""ADZ-284"",""IPZ-131"",""IPZ-464"",""ADZ-193"",""ADZ-145"",""ADZ-115"",""KK-152"",""KK-217"",""KK-235"",""IPZ-223"",""SUPD-104"",""IPZ-343"",""IPZ-480"",""ADZ-095"",""IPTD-936"",""ADZ-236"",""ADZ-221"",""ADZ-240"",""ADZ-105"",""ADZ-262"",""IPZ-314"",""IPZ-529"",""IPZ-243"",""IPTD-954"",""IPZ-147"",""ADZ-233"",""ADZ-253"",""ADZ-276"",""ADZ-201"",""ADZ-244"",""ADZ-230"",""ADZ-133"",""ADZ-272"",""IPZ-023"",""ADZ-197"",""IPZ-289"",""ADZ-278"",""ADZ-140"",""IPZ-082"",""ADZ-270"",""IPZ-268"",""ADZ-160"",""ADZ-281"",""ADZ-208"",""ADZ-151"",""IPZ-515"",""ADZ-287"",""IPZ-404"",""ADZ-227"",""ADZ-248"",""IPTD-985"",""IPZ-389"",""IPZ-061"",""ADZ-216"",""IPZ-011"",""ADZ-189"",""ADZ-185"",""ADZ-265"",""ADZ-258"",""IPTD-970"",""IPZ-542"",""ADZ-218"",""ADZ-224"",""ADZ-121""]",https://www.asianscreens.com/Yu_Namiki2.asp
Moka,7/7/88,160,92,60,86,"[""SERO-0011"",""SKD-34"",""CRPD-352"",""NWF-201"",""NWF-189"",""CRPD-323"",""WSS-091"",""EZD-337"",""IESP-480"",""SHKD-356"",""ELO-316"",""KAZ-053"",""NADE-887"",""GST-011"",""SMA-412"",""WIL-035"",""NWF-175"",""KIBD-063"",""BLK-003"",""BLK-020"",""KIRD-143"",""WSD-006"",""MVSD-091"",""TYOD-051"",""ONED-838"",""HAVD-606"",""SMA-455"",""NWF-261"",""HND-009"",""ONED-924"",""ONED-871"",""ONED-916"",""ONED-863"",""SOE-014"",""ONED-974"",""ONED-898"",""ONED-992"",""ONED-942"",""NOD-032"",""SHKD-353""]",https://www.asianscreens.com/Moka2.asp
Yu Asakura,12/24/89,160,85,56,85,"[""WANZ-207"",""MILD-788"",""WANZ-297"",""WANZ-281"",""SERO-0002"",""MILD-676"",""WNZ-191"",""PGD-767"",""MILD-687"",""WANZ-385"",""KAWD-267"",""MILD-694"",""WANZ-438"",""WANZ-373"",""FSET-241"",""WANZ-502"",""MILD-809"",""MILD-726"",""MILD-753"",""WANZ-238"",""MILD-782"",""MILD-659"",""WANZ-332"",""MILD-908"",""MILD-698"",""MILD-794"",""SENA-05"",""MDS-591"",""RKI-076"",""RGD-223"",""MILD-664"",""LABS-07"",""MILD-799"",""HAVD-632"",""PMP-114"",""MILD-650"",""MILD-877"",""PMH-184"",""PMS-158"",""MILD-704"",""ADZ-219"",""GG-203"",""MILD-736"",""MILD-778"",""MILD-900"",""WANZ-307"",""WANZ-234"",""WSS-121"",""OFM-003"",""MILD-731"",""WANZ-403"",""SMA-475"",""WANZ-356"",""WANZ-197"",""MILD-742"",""NIT-054"",""JUX-088"",""MILD-749"",""WANZ-457"",""CRIM-005"",""MILD-815"",""PGD-387"",""WANZ-254"",""WANZ-406"",""MILD-889"",""MIAD-458"",""WANZ-473"",""KAWD-246"",""UFD-003"",""MILD-670"",""WANZ-350"",""WANZ-213"",""MILD-883"",""HAVD-671"",""OAM-009"",""MILD-718"",""SERO-0023"",""SDMT-024"",""MILD-713"",""VSPDS-485"",""SDMT-041"",""FSET-252"",""WANZ-420""]",https://www.asianscreens.com/Yu_Asakura2.asp
Kokomi Naruse,3/3/89,147,89,59,82,"[""WNZS-161"",""MDS-693"",""MDS-665"",""PSD-368"",""MIAS-003"",""MIAS-005"",""SDMT-484"",""MDS-721"",""WNZS-113"",""MDS-706"",""WNZ-306"",""ZONO-003"",""SNYD-058"",""EC-097"",""EMU-081"",""BBI-101"",""MDS-741"",""EBOD-192"",""JUFD-152"",""WNZS-177"",""OKAD-364"",""KAWD-320"",""LPT-005"",""DASD-135"",""VEMA-026"",""CRIM-008"",""GSTY-007"",""EKDV-253"",""SACE-080"",""EKDV-224"",""ONEM-079"",""WNZS-126"",""WNZS-124"",""HODV-20699"",""IPTD-788"",""MIAD-475"",""ARMG-081"",""SACE-086"",""SMA-494"",""SAN-002"",""MILD-639"",""TMAT-013"",""JUC-425"",""ARS-054"",""HERZ-001"",""EKDV-110"",""EKDV-205"",""EKDV-261"",""MDS-573"",""BLK-010"",""KAWD-277"",""EKDV-093"",""EKDV-246"",""EKDV-098"",""EKDV-241"",""FSET-268"",""IPTD-770"",""IPTD-549"",""MILD-626"",""SDMT-092"",""PGD-352"",""ZONO-007"",""IPTD-502"",""EKDV-114"",""MILD-634"",""ADZ-266"",""SMA-429"",""SACE-094"",""PPA-004"",""SACE-090"",""JUC-875"",""WNZ-408"",""NNN-023"",""IBW-142"",""XVSR-237"",""UPSM-018"",""GAR-201"",""UPSM-013"",""SMA-464"",""REAL-376"",""MXGS-227"",""WNZ-173"",""MILD-645"",""MDS-713"",""SCPR-004"",""EKDV-143"",""KAWD-250"",""NXG-297"",""WNZ-113"",""MDS-683"",""IPTD-924"",""MXGS-445"",""GG-092"",""TYOD-131"",""MDS-621"",""WNZ-201"",""WNZ-151"",""IENE-021"",""MDS-736"",""CEN-017"",""VEC-007"",""JUC-528"",""TKY-004"",""UPSA-007"",""MDS-689"",""MDS-695"",""PGD-474"",""UPSM-101"",""EZD-403"",""HODV-20734"",""UFD-004"",""MDS-709"",""MILD-622"",""DDB-118"",""HAVD-600""]",https://www.asianscreens.com/Kokomi_Naruse2.asp
